row_id,source_name,source_type,recipe_name,source_url,method,brewer,is_exact_v60,bean_name,bean_origin,bean_process,bean_variety,roast_level_text,water_g_hot,ice_g,coffee_g,brew_ratio,water_temp_c,water_temp_profile_c,water_tds_ppm,water_hardness_mg_l,grind_text,grind_microns,bloom_g,bloom_time_s,pours_total,total_brew_time_s,pour_schedule_text,agitation_text,explicit_taste_text,sweetness_score_weak,bitterness_score_weak,acidity_score_weak,sourness_risk_score_weak,balance_score_weak,label_source,notes
timer_scott_rao_classic,Timer.Coffee,structured_recipe_page,Scott Rao classic V60 recipe,https://www.timer.coffee/recipes/v60/scott-rao-classic-v60-recipe/,pour_over,V60,True,,,,,,360,0.0,22.0,16.364,95.0,95,,,medium fine,,66.0,45.0,2.0,180.0,0:00 bloom 66g; 0:45 main pour to 360g,excavate at 0:15; gentle stir at 1:35; swirl at 2:00,even extraction and a consistent brew,4.5,4.0,4.0,3.0,5.2,explicit_from_source_text,Good process row but weak sensory label.
timer_lance_flash_brew,Timer.Coffee,structured_recipe_page,Lance Hedrick's ultimate flash brew,https://www.timer.coffee/recipes/v60/lance-hedrick-s-ultimate-flash-brew/,pour_over,V60,True,,,,,,240,60.0,20.0,12.0,93.0,93,,,medium fine,,60.0,60.0,3.0,205.0,0:00 bloom 60g; 1:00 pour 90g; 1:45 pour 90g; 2:30 add 60g ice,gentle swirl at 1:45; stir after adding ice,"high extraction, low bitterness, and all delicacies of the beans in iced coffee",4.5,6.5,4.0,3.0,4.0,explicit_from_source_text,"Iced V60 recipe; keep if modeling flash brews, otherwise filter out."
timer_jh_one_cup,Timer.Coffee,structured_recipe_page,James Hoffmann V60 - One cup,https://www.timer.coffee/recipes/v60/james-hoffmann-v60-one-cup-recipe/,pour_over,V60,True,,,,,,250,0.0,15.0,16.667,95.0,95,,,medium fine,,50.0,45.0,5.0,180.0,0:00 bloom 50g; 0:45 to 100g; 1:10 to 150g; 1:30 to 200g; 1:50 to 250g,swirl at 0:10 and 2:00,,4.5,4.0,4.0,3.0,4.0,none,Strong process row; no explicit sensory label in source.
timer_jh_standard,Timer.Coffee,structured_recipe_page,James Hoffmann V60 Recipe,https://www.timer.coffee/recipes/v60/james-hoffman-v60-recipe/,pour_over,V60,True,,,,,,500,0.0,30.0,16.667,95.0,95,,,medium fine,,60.0,45.0,3.0,210.0,0:00 bloom 60g; 0:45 pour to 300g; 1:15 pour to 500g,swirl at 0:10; stir at 1:45; swirl at 1:55,easy-to-follow recipe; even extraction,4.5,4.0,4.0,3.0,4.0,inferred_from_source_text,No explicit flavor notes; keep mainly for process coverage.
timer_jh_iced,Timer.Coffee,structured_recipe_page,James Hoffmann iced V60 recipe,https://www.timer.coffee/recipes/v60/james-hoffmann-iced-v60-recipe/,pour_over,V60,True,,,,,,500,,32.5,15.385,95.0,95,,,medium fine,,97.5,45.0,2.0,175.0,0:00 bloom 97.5g; 0:45 continuous pour to 500g,stir bloom; stir at 2:30; swirl server to melt ice,iced filter coffee,4.5,4.0,4.0,3.0,4.0,none,Iced recipe; likely separate regime from hot V60 brews.
philo_46_light,Philocoffea,brew_guide_article,Tetsu Kasuya 4:6 method (light roast guidance),https://en.philocoffea.com/blogs/blog/coffee-brewing-method,pour_over,V60,True,,,,,light,300,0.0,20.0,15.0,93.0,93,,40.0,medium-coarse to coarse,,60.0,45.0,5.0,210.0,0:00 60g; 0:45 60g; 1:30 60g; 2:15 60g; 2:45 60g,allow near-complete drain between pours,control balance between sweetness and acidity; brighter flavor with coarser grind,9.0,4.0,10.0,4.1,6.5,explicit_from_source_text,Water guidance from source recommends purified soft water 30-50 mg/L hardness.
philo_46_medium,Philocoffea,brew_guide_article,Tetsu Kasuya 4:6 method (medium roast guidance),https://en.philocoffea.com/blogs/blog/coffee-brewing-method,pour_over,V60,True,,,,,medium,300,0.0,20.0,15.0,88.0,88,,40.0,medium-coarse to coarse,,60.0,45.0,5.0,210.0,0:00 60g; 0:45 60g; 1:30 60g; 2:15 60g; 2:45 60g,allow near-complete drain between pours,control balance between sweetness and acidity; medium-coarse to coarse grind,9.0,4.0,8.4,3.0,6.5,explicit_from_source_text,Water guidance from source recommends purified soft water 30-50 mg/L hardness.
philo_46_dark,Philocoffea,brew_guide_article,Tetsu Kasuya 4:6 method (dark roast guidance),https://en.philocoffea.com/blogs/blog/coffee-brewing-method,pour_over,V60,True,,,,,dark,300,0.0,20.0,15.0,83.0,83,,40.0,medium-coarse to coarse,,60.0,45.0,4.0,210.0,0:00 60g; 0:45 60g; 1:30 90g; 2:15 90g,allow near-complete drain between pours,thinner coffee for dark roast; avoid bitter taste from too-hot water,4.5,4.7,4.0,3.0,4.0,explicit_from_source_text,Dark-roast variant derived directly from source guidance: lower temp and fewer final pours.
pdg_sam_two_kettle,Perfect Daily Grind,brew_guide_article,Sam's V60 two-kettle method for experimentally processed coffees,https://perfectdailygrind.com/2022/11/should-you-brew-experimentally-processed-coffees-differently/,pour_over,V60,True,,,experimentally processed,,,300,0.0,20.0,15.0,,92 then 88,,,medium-to-fine,,50.0,35.0,5.0,180.0,0:00 bloom 50g; 0:35 70g @92C; 1:00-1:10 60g @88C; 1:25-1:40 60g @88C; 1:45-2:10 60g @88C,temperature profile changes mid-brew,recipe to handle experimentally processed coffees with lower second-kettle temperatures,4.5,4.0,4.0,3.0,4.0,inferred_from_source_text,Useful because it encodes variable temperature within one brew.
cc_standard_v60,Coffee Chronicler,brew_guide_article,My Easy Recipe for the Hario V60,https://coffeechronicler.com/hario-v60-recipe-guide/,pour_over,V60,True,,,,,most roast types,270,0.0,17.0,15.882,92.0,91-93,70.0,,medium-fine,,51.0,45.0,4.0,188.0,0:00 bloom 51g; 0:45 to 135g; 1:30 to 200g; 2:00 to 270g,"declining agitation profile, more early and less later",consistent cup with a long and clean aftertaste; flavor clarity; minimizing extraction of bitter compounds later,4.5,6.5,4.0,3.0,7.4,explicit_from_source_text,Water TDS range in source is 40-100 ppm; 70 ppm used here as midpoint.
